epoch,train_mse_uts,train_mse_fs,full_mae_uts,full_mae_fs,full_score
206,0.05678823,0.16426559,0.15497248,0.27202758,0.42700006
207,0.05165646,0.18166140,0.15643369,0.27175033,0.42818402
208,0.05664570,0.18255574,0.15817145,0.27010375,0.42827520
209,0.05381333,0.17107274,0.15763317,0.27075875,0.42839192
210,0.05341736,0.17180167,0.15748182,0.26956984,0.42705166
211,0.05382288,0.17620581,0.15914252,0.26870072,0.42784324
212,0.05298304,0.16312023,0.16009936,0.26948106,0.42958042
213,0.05193102,0.16012245,0.16096188,0.26864776,0.42960964
214,0.05633928,0.16868530,0.16041468,0.26744288,0.42785756
215,0.05136063,0.17174302,0.15933773,0.27357873,0.43291646
216,0.05656563,0.17284501,0.15875155,0.27229881,0.43105036
217,0.05202010,0.15639292,0.15690768,0.26784870,0.42475638
218,0.05388619,0.15954329,0.15491752,0.26952615,0.42444368
219,0.05136324,0.16387877,0.15307908,0.26747283,0.42055191
220,0.05196130,0.16510391,0.15279076,0.27221569,0.42500645
221,0.05394195,0.17105114,0.15396024,0.28038451,0.43434475
222,0.05147831,0.17479549,0.15434363,0.27221751,0.42656115
223,0.05376506,0.16881286,0.15292144,0.26686701,0.41978845
224,0.05437714,0.16188075,0.15113279,0.27005005,0.42118284
225,0.05011147,0.18109523,0.15095186,0.26512837,0.41608024
226,0.05073725,0.16084622,0.15201730,0.27028146,0.42229876
227,0.05333744,0.15957826,0.15224548,0.26785451,0.42009999
228,0.05167024,0.17939089,0.15386838,0.26237091,0.41623929
229,0.05175891,0.15098453,0.15554442,0.26026270,0.41580711
230,0.05556376,0.16433932,0.15623719,0.25972617,0.41596335
231,0.05331640,0.17519313,0.15600537,0.25940457,0.41540994
232,0.05148552,0.16327286,0.15512630,0.26153716,0.41666347
233,0.05285299,0.17184950,0.15317062,0.26551870,0.41868931
234,0.05068944,0.15078397,0.15205818,0.26670995,0.41876814
235,0.05096001,0.14505355,0.15221271,0.26077989,0.41299260
236,0.04885888,0.16000727,0.15174703,0.25983146,0.41157849
237,0.04834513,0.15454656,0.15013741,0.26005498,0.41019239
238,0.04856300,0.15886782,0.14593610,0.25985244,0.40578854
239,0.04900225,0.14917684,0.14418855,0.26139623,0.40558478
240,0.04895603,0.15730970,0.14376740,0.26009491,0.40386231
241,0.05053648,0.15675689,0.14522155,0.26019046,0.40541200
242,0.04740739,0.16200715,0.14708762,0.26035124,0.40743886
243,0.04734273,0.16362701,0.15010013,0.25835103,0.40845115
244,0.04659298,0.16332188,0.15090680,0.25733501,0.40824181
245,0.05133266,0.16142966,0.14755982,0.25680962,0.40436944
246,0.04776066,0.14462686,0.14567596,0.25629142,0.40196738
247,0.05067891,0.16212854,0.14562331,0.25615031,0.40177362
248,0.04606365,0.14896700,0.14572057,0.25735751,0.40307808
249,0.04771860,0.14459631,0.14801936,0.25577611,0.40379547
250,0.04693232,0.15463275,0.14953482,0.25447664,0.40401146
251,0.04709604,0.14524804,0.14999799,0.25290263,0.40290062
252,0.04940347,0.15143813,0.14948839,0.25321913,0.40270752
253,0.04618938,0.15107638,0.14752716,0.25411946,0.40164661
254,0.04920736,0.14516911,0.14604557,0.25688079,0.40292636
255,0.04471231,0.15996507,0.14588095,0.25762880,0.40350975
256,0.04774619,0.16196156,0.14879297,0.25714493,0.40593790
257,0.04559292,0.14131390,0.14982638,0.25630501,0.40613139
258,0.04678430,0.15339153,0.15102687,0.25756249,0.40858936
259,0.04900429,0.15062696,0.14957954,0.25683331,0.40641285
260,0.04736976,0.14659347,0.14698774,0.25390306,0.40089080
261,0.04754407,0.14432782,0.14438276,0.25292802,0.39731078
262,0.04707478,0.15228166,0.14433271,0.25239772,0.39673042
263,0.04676230,0.14887233,0.14590915,0.25445986,0.40036900
264,0.04730985,0.14518733,0.14912839,0.25564915,0.40477754
265,0.04584276,0.15140036,0.15074241,0.25204459,0.40278700
266,0.04695860,0.16295151,0.15001367,0.24862792,0.39864159
267,0.04748809,0.14841351,0.14743797,0.24862650,0.39606448
268,0.04618924,0.14378619,0.14473124,0.24901353,0.39374477
269,0.04843072,0.14808372,0.14299099,0.25013182,0.39312281
270,0.05005375,0.15464728,0.14162143,0.25229025,0.39391167
271,0.04442665,0.13901563,0.14123169,0.25384015,0.39507183
272,0.04495624,0.16033706,0.14254308,0.25194034,0.39448342
273,0.04842198,0.15646441,0.14564863,0.25026047,0.39590910
274,0.04755205,0.13561994,0.14993688,0.24952652,0.39946340
275,0.04552928,0.14641321,0.15146948,0.24819845,0.39966793
276,0.04908223,0.14095619,0.15049051,0.25101349,0.40150400
277,0.04535597,0.14078319,0.14746968,0.25531581,0.40278549
278,0.04653180,0.16195816,0.14444613,0.24851964,0.39296578
279,0.04302005,0.14285772,0.14186446,0.24581975,0.38768421
280,0.04718596,0.14115964,0.14135604,0.24634087,0.38769691
281,0.04673885,0.13832882,0.14071749,0.24585935,0.38657685
282,0.04557566,0.16081540,0.14244193,0.25039762,0.39283955
283,0.04637407,0.15781346,0.14463295,0.25944725,0.40408020
284,0.04647940,0.15729265,0.14597717,0.25567195,0.40164912
285,0.04625004,0.14679642,0.14670087,0.25267938,0.39938025
286,0.04545209,0.13165179,0.14652492,0.25352901,0.40005393
287,0.04739063,0.14305164,0.14457242,0.25258091,0.39715333
288,0.04559788,0.14204273,0.14271258,0.25128895,0.39400153
289,0.04747988,0.13523214,0.14238638,0.24991645,0.39230283
290,0.04465941,0.13294157,0.14164738,0.24948880,0.39113618
291,0.04387553,0.14025925,0.14159705,0.24861664,0.39021368
292,0.04614969,0.13205108,0.14429651,0.24719515,0.39149167
293,0.04484290,0.12709016,0.14573342,0.24494664,0.39068006
294,0.04649841,0.13507108,0.14589946,0.24063568,0.38653514
295,0.04824423,0.14477283,0.14522614,0.24207596,0.38730210
296,0.04564472,0.14025164,0.14471339,0.23965308,0.38436647
297,0.04421269,0.12751055,0.14494880,0.23832782,0.38327661
298,0.04870386,0.14007013,0.14380608,0.23718596,0.38099204
299,0.04375865,0.12025230,0.14252058,0.23655124,0.37907182
300,0.04518482,0.13453871,0.14195102,0.23514259,0.37709361
301,0.04335856,0.14224169,0.14302059,0.23456003,0.37758061
302,0.04628211,0.13958025,0.14558595,0.23487061,0.38045657
303,0.04235005,0.13275239,0.14865716,0.23369536,0.38235252
304,0.04530195,0.13396439,0.14929751,0.23261468,0.38191219
305,0.04350238,0.13678485,0.14556609,0.23219019,0.37775628
306,0.04550823,0.12201224,0.14024563,0.23360679,0.37385242
307,0.04006051,0.14256865,0.13744330,0.23428755,0.37173085
