sample_id,teacher_UTS,linear_UTS,residual_true_UTS,residual_pred_UTS,combined_UTS,abs_err_linear_vs_teacher_UTS,abs_err_residual_pred_vs_true_UTS,abs_err_combined_vs_teacher_UTS,teacher_FS,linear_FS,residual_true_FS,residual_pred_FS,combined_FS,abs_err_linear_vs_teacher_FS,abs_err_residual_pred_vs_true_FS,abs_err_combined_vs_teacher_FS,label_UTS,abs_err_combined_vs_label_UTS,abs_err_teacher_vs_label_UTS,label_FS,abs_err_combined_vs_label_FS,abs_err_teacher_vs_label_FS
461,0.5674519538879395,0.6744690387028478,-0.10701708481490835,-0.0,0.6744690387028478,0.10701708481490835,0.10701708481490835,0.10701708481490835,1.2400379180908203,1.580702800906713,-0.3406648828158927,-0.34014350175857544,1.2405592991481376,0.3406648828158927,0.0005213810573172495,0.0005213810573172495,0.5454550385475159,0.12901400015533193,0.021996915340423584,1.3656705617904663,0.12511126264232875,0.125632643699646
462,0.5912730693817139,0.694897928456265,-0.1036248590745511,-0.0,0.694897928456265,0.1036248590745511,0.1036248590745511,0.1036248590745511,1.3719874620437622,1.49402376984892,-0.12203630780515784,-0.05144160985946655,1.4425821599894535,0.12203630780515784,0.07059469794569129,0.07059469794569129,0.62716144323349,0.06773648522277498,0.03588837385177612,1.3352313041687012,0.10735085582075232,0.036756157875061035
463,0.6422876119613647,0.7153268153840515,-0.07303920342268677,-0.0,0.7153268153840515,0.07303920342268677,0.07303920342268677,0.07303920342268677,1.5394854545593262,1.4073447507801737,0.13214070377915244,0.008122682571411133,1.4154674333515849,0.13214070377915244,0.1240180212077413,0.1240180212077413,0.6338096857070923,0.08151712967695923,0.008477926254272461,1.5473811626434326,0.13191372929184775,0.007895708084106445
464,0.41343316435813904,0.41461532387673783,-0.001182159518598791,0.0,0.41461532387673783,0.001182159518598791,0.001182159518598791,0.001182159518598791,1.869343876838684,2.0024770158788776,-0.13313313904019353,-0.3569199740886688,1.6455570417902088,0.13313313904019353,0.2237868350484753,0.2237868350484753,0.438892662525177,0.024277338648439173,0.025459498167037964,1.662088394165039,0.016531352374830277,0.20725548267364502
465,0.4134054183959961,0.3472319602829507,0.06617345811304537,0.0,0.3472319602829507,0.06617345811304537,0.06617345811304537,0.06617345811304537,1.869341254234314,2.0789127566518,-0.20957150241748623,-0.42619845271110535,1.6527143039406949,0.20957150241748623,0.2166269502936191,0.2166269502936191,0.5526754260063171,0.20544346572336641,0.13927000761032104,2.1118106842041016,0.4590963802634067,0.2424694299697876
466,0.41337090730667114,0.2798485880690328,0.13352231923763835,0.0,0.2798485880690328,0.13352231923763835,0.13352231923763835,0.13352231923763835,1.8693386316299438,2.155348507202894,-0.2860098755729501,-0.34906792640686035,1.8062805807960336,0.2860098755729501,0.06305805083391025,0.06305805083391025,0.24391494691371918,0.03593364115531361,0.16945596039295197,1.808714747428894,0.002434166632860446,0.060623884201049805
467,0.515720784664154,0.6221955645623268,-0.10647477989817278,-0.0,0.6221955645623268,0.10647477989817278,0.10647477989817278,0.10647477989817278,2.5583229064941406,1.72026322078339,0.8380596857107507,0.8793720006942749,2.599635221477665,0.8380596857107507,0.04131231498352417,0.04131231498352417,0.5063173770904541,0.11587818747187273,0.009403407573699951,2.6465251445770264,0.046889923099361575,0.08820223808288574
468,0.531970739364624,0.6630533412435305,-0.13108260187890652,-0.0,0.6630533412435305,0.13108260187890652,0.13108260187890652,0.13108260187890652,1.2141101360321045,1.5469051706568506,-0.33279503462474613,-0.34014350175857544,1.2067616688982752,0.33279503462474613,0.007348467133829306,0.007348467133829306,0.5409334897994995,0.12211985144403104,0.008962750434875488,1.331709623336792,0.1249479544385168,0.1175994873046875
469,0.6088376641273499,0.6834822309969477,-0.07464456686959786,-0.0,0.6834822309969477,0.07464456686959786,0.07464456686959786,0.07464456686959786,1.3349921703338623,1.4602261395990574,-0.12523396926519514,-0.05144160985946655,1.408784529739591,0.12523396926519514,0.07379235940572859,0.07379235940572859,0.6108059883117676,0.07267624268518014,0.0019683241844177246,1.3217034339904785,0.08708109574911238,0.013288736343383789
470,0.6449618339538574,0.7039111179247344,-0.05894928397087695,-0.0,0.7039111179247344,0.05894928397087695,0.05894928397087695,0.05894928397087695,1.4909398555755615,1.3735471205303114,0.11739273504525016,0.008122682571411133,1.3816698031017225,0.11739273504525016,0.10927005247383903,0.10927005247383903,0.6467432975769043,0.05716782034783008,0.001781463623046875,1.5444785356521606,0.16280873255043815,0.05353868007659912
471,0.43584364652633667,0.4031996264174206,0.032644020108916094,0.0,0.4031996264174206,0.032644020108916094,0.032644020108916094,0.032644020108916094,1.8926303386688232,1.9686793856290155,-0.07604904696019221,-0.3569199740886688,1.6117594115403466,0.07604904696019221,0.2808709271284766,0.2808709271284766,0.4757349193096161,0.07253529289219551,0.03989127278327942,1.7798211574554443,0.1680617459150977,0.1128091812133789
472,0.435820996761322,0.33581626282363347,0.10000473393768855,0.0,0.33581626282363347,0.10000473393768855,0.10000473393768855,0.10000473393768855,1.8926584720611572,2.045115126401938,-0.1524566543407806,-0.42619845271110535,1.6189166736908325,0.1524566543407806,0.27374179837032475,0.27374179837032475,0.5234905481338501,0.18767428531021663,0.08766955137252808,2.182997226715088,0.5640805530242554,0.29033875465393066
473,0.4357907772064209,0.26843289060971554,0.16735788659670536,0.0,0.26843289060971554,0.16735788659670536,0.16735788659670536,0.16735788659670536,1.892686128616333,2.121550876953031,-0.22886474833669812,-0.34906792640686035,1.7724829505461708,0.22886474833669812,0.12020317807016223,0.12020317807016223,0.29422739148139954,0.025794500871684,0.14156338572502136,1.927834391593933,0.15535144104776233,0.0351482629776001
474,0.5157222151756287,0.611432557921245,-0.0957103427456163,-0.0,0.611432557921245,0.0957103427456163,0.0957103427456163,0.0957103427456163,2.558483123779297,1.6883979650573628,0.870085158721934,0.8793720006942749,2.567769965751638,0.870085158721934,0.009286841972340865,0.009286841972341087,0.5084865093231201,0.10294604859812484,0.007235705852508545,2.56282639503479,0.004943570716847923,0.004343271255493164
475,0.5319705009460449,0.6522903346024487,-0.12031983365640375,-0.0,0.6522903346024487,0.12031983365640375,0.12031983365640375,0.12031983365640375,1.2140142917633057,1.5150399149308238,-0.30102562316751813,-0.34014350175857544,1.1748964131722484,0.30102562316751813,0.03911787859105731,0.03911787859105731,0.5467931032180786,0.10549723138437006,0.014822602272033691,1.1805545091629028,0.005658095990654477,0.03345978260040283
476,0.6088399291038513,0.6727192243558658,-0.06387929525201452,-0.0,0.6727192243558658,0.06387929525201452,0.06387929525201452,0.06387929525201452,1.3349409103393555,1.4283608838730306,-0.09341997353367515,-0.05144160985946655,1.376919274013564,0.09341997353367515,0.041978363674208596,0.041978363674208596,0.5942919254302979,0.07842729892556799,0.014548003673553467,1.1833689212799072,0.19355035273365684,0.15157198905944824
477,0.6449580192565918,0.6931481112836524,-0.048190092027060594,-0.0,0.6931481112836524,0.048190092027060594,0.048190092027060594,0.048190092027060594,1.4909536838531494,1.3416818648042845,0.14927181904886488,0.008122682571411133,1.3498045473756957,0.14927181904886488,0.14114913647745375,0.14114913647745375,0.6501752138137817,0.04297289746987065,0.005217194557189941,1.5370737314224243,0.18726918404672865,0.0461200475692749
478,0.43584302067756653,0.3924366197763387,0.043406400901227826,0.0,0.3924366197763387,0.043406400901227826,0.043406400901227826,0.043406400901227826,1.8926479816436768,1.9368141299029884,-0.044166148259311644,-0.3569199740886688,1.5798941558143196,0.044166148259311644,0.3127538258293572,0.3127538258293572,0.467556357383728,0.07511973760738933,0.0317133367061615,1.7550170421600342,0.1751228863457146,0.13763093948364258
479,0.43581944704055786,0.32505325618255154,0.11076619085800632,0.0,0.32505325618255154,0.11076619085800632,0.11076619085800632,0.11076619085800632,1.8926787376403809,2.013249870675911,-0.12057113303553013,-0.42619845271110535,1.5870514179648056,0.12057113303553013,0.3056273196755752,0.3056273196755752,0.5426650643348694,0.21761180815231784,0.10684561729431152,2.0774834156036377,0.49043199763883205,0.18480467796325684
480,0.4357890188694,0.25766988396863366,0.17811913490076636,0.0,0.25766988396863366,0.17811913490076636,0.17811913490076636,0.17811913490076636,1.8927091360092163,2.0896856212270043,-0.196976485217788,-0.34906792640686035,1.740617694820144,0.196976485217788,0.15209144118907236,0.15209144118907236,0.2889719307422638,0.03130204677363013,0.14681708812713623,1.8854904174804688,0.1448727226603248,0.007218718528747559
481,1.104163646697998,1.0976469551719905,0.006516691526007534,0.035267170518636703,1.1329141256906272,0.006516691526007534,0.02875047899262917,0.02875047899262917,0.8643306493759155,0.83870706183088,0.025623587545035575,0.12066802382469177,0.9593750856555717,0.025623587545035575,0.0950444362796562,0.0950444362796562,1.088275671005249,0.04463845468537819,0.015887975692749023,0.946111798286438,0.013263287369133736,0.08178114891052246
482,1.1757724285125732,1.1282902876828933,0.04748214082967994,0.00048392280586995184,1.1287742104887633,0.04748214082967994,0.04699821802380999,0.04699821802380999,0.41870230436325073,0.7086885242359756,-0.2899862198727249,-0.34342527389526367,0.36526325034071194,0.2899862198727249,0.05343905402253879,0.05343905402253879,1.1453382968902588,0.016564086401495537,0.030434131622314453,0.3779587149620056,0.012695464621293673,0.04074358940124512
