tem,fcr,Al,Zr,Sn,Mo,Cr,Nb,Si,V,Ta,Fe,T1,t1,T2,t2,T3,t3,C1_1,C1_2,C1_3,C2_1,C2_2,C2_3,C3_1,C3_2,C3_3,YS,FS,UTS,imgf,,,,
25,0,6,4,2,2,0,0,0.1,0,0,0,1000,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,925.834876,18.0359483,1329.437327,0.58825,,,,
25,1500,6,4,2,2,0,0,0.1,0,0,0,1000,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,1196.769,8.960363,1519.706032,0.58825,,,,
25,2000,6,4,2,2,0,0,0.1,0,0,0,1000,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,1155.131,14.586642,1478.409895,0.58825,,,,
25,3000,6,4,2,2,0,0,0.1,0,0,0,1000,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,1123.552,20.42286,1510.304459,0.58825,,,,
25,3500,6,4,2,2,0,0,0.1,0,0,0,1000,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,1367.632,18.821157,1581.829925,0.58825,,,,
350,0,6,4,2,2,0,0,0.1,0,0,0,1000,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,492.352,23.506,916.1632142,0.58825,,,,
450,0,6,4,2,2,0,0,0.1,0,0,0,1000,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,519.106,27.098,909.0603632,0.58825,,,,
550,0,6,4,2,2,0,0,0.1,0,0,0,1000,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,653.972,33.285,874.0010836,0.58825,,,,
25,0,6,4,2,2,0,0,0.1,0,0,0,980,1,590,8,-1,-1,0,1,0,0,0,1,0,0,0,1040.814646,23.8930004,1441.536682,0.15726,,,,
25,1500,6,4,2,2,0,0,0.1,0,0,0,980,1,590,8,-1,-1,0,1,0,0,0,1,0,0,0,1150.069,8.375568,1436.1501,0.15726,,,,
25,2000,6,4,2,2,0,0,0.1,0,0,0,980,1,590,8,-1,-1,0,1,0,0,0,1,0,0,0,1199.786,15.406569,1523.036071,0.15726,,,,
25,2500,6,4,2,2,0,0,0.1,0,0,0,980,1,590,8,-1,-1,0,1,0,0,0,1,0,0,0,1324.419,21.912882,1620.934356,0.15726,,,,
25,3500,6,4,2,2,0,0,0.1,0,0,0,980,1,590,8,-1,-1,0,1,0,0,0,1,0,0,0,1360.015,21.664128,1598.170229,0.15726,,,,
350,0,6,4,2,2,0,0,0.1,0,0,0,980,1,590,8,-1,-1,0,1,0,0,0,1,0,0,0,731.916,23.498,970.3300676,0.15726,,,,
450,0,6,4,2,2,0,0,0.1,0,0,0,980,1,590,8,-1,-1,0,1,0,0,0,1,0,0,0,534.518,28.103,973.2658264,0.15726,,,,
550,0,6,4,2,2,0,0,0.1,0,0,0,980,1,590,8,-1,-1,0,1,0,0,0,1,0,0,0,504.158,33.107,912.5219433,0.15726,,,,
25,0,6,4,2,2,0,0,0.1,0,0,0,960,1,590,8,-1,-1,0,1,0,0,0,1,0,0,0,1056.257568,22.5408615,1480.674276,0.13005,,,,
25,1500,6,4,2,2,0,0,0.1,0,0,0,960,1,590,8,-1,-1,0,1,0,0,0,1,0,0,0,1211.395,10.043898,1517.91588,0.13005,,,,
25,2000,6,4,2,2,0,0,0.1,0,0,0,960,1,590,8,-1,-1,0,1,0,0,0,1,0,0,0,1231.752,16.921885,1587.982988,0.13005,,,,
25,3000,6,4,2,2,0,0,0.1,0,0,0,960,1,590,8,-1,-1,0,1,0,0,0,1,0,0,0,1382.17,21.645717,1642.033127,0.13005,,,,
25,3500,6,4,2,2,0,0,0.1,0,0,0,960,1,590,8,-1,-1,0,1,0,0,0,1,0,0,0,1258.04,21.451689,1637.350929,0.13005,,,,
350,0,6,4,2,2,0,0,0.1,0,0,0,960,1,590,8,-1,-1,0,1,0,0,0,1,0,0,0,485.432,28.699,1068.070054,0.13005,,,,
450,0,6,4,2,2,0,0,0.1,0,0,0,960,1,590,8,-1,-1,0,1,0,0,0,1,0,0,0,488.336,26.497,1009.215858,0.13005,,,,
550,0,6,4,2,2,0,0,0.1,0,0,0,960,1,590,8,-1,-1,0,1,0,0,0,1,0,0,0,456.518,29.904,950.9829957,0.13005,,,,
25,0,6,4,2,2,0,0,0.1,0,0,0,960,1,590,8,-1,-1,1,0,0,0,0,1,0,0,0,1239.56919,14.368563,1591.125261,0.22595,,,,
25,2000,6,4,2,2,0,0,0.1,0,0,0,960,1,590,8,-1,-1,1,0,0,0,0,1,0,0,0,1451.33,14.612354,1726.242325,0.22595,,,,
25,2500,6,4,2,2,0,0,0.1,0,0,0,960,1,590,8,-1,-1,1,0,0,0,0,1,0,0,0,1521.496,21.174482,1722.913905,0.22595,,,,
25,3000,6,4,2,2,0,0,0.1,0,0,0,960,1,590,8,-1,-1,1,0,0,0,0,1,0,0,0,1536.782,15.444307,1728.985895,0.22595,,,,
350,0,6,4,2,2,0,0,0.1,0,0,0,960,1,590,8,-1,-1,1,0,0,0,0,1,0,0,0,778.148,20.896,1184.301062,0.22595,,,,
450,0,6,4,2,2,0,0,0.1,0,0,0,960,1,590,8,-1,-1,1,0,0,0,0,1,0,0,0,514.558,24.29,894.0411613,0.22595,,,,
550,0,6,4,2,2,0,0,0.1,0,0,0,960,1,590,8,-1,-1,1,0,0,0,0,1,0,0,0,636.53,24.008,999.097537,0.22595,,,,
25,0,6,4,2,2,0,0,0.1,0,0,0,990,1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,939.249436,22.9790594,1284.085363,0.16265,,,,
25,2000,6,4,2,2,0,0,0.1,0,0,0,990,1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,1334.106,14.9769006,1528.506411,0.16265,,,,
25,2500,6,4,2,2,0,0,0.1,0,0,0,990,1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,1425.487,20.6273661,1613.929091,0.16265,,,,
25,3000,6,4,2,2,0,0,0.1,0,0,0,990,1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,1373.082,23.7341519,1557.309866,0.16265,,,,
25,4000,6,4,2,2,0,0,0.1,0,0,0,990,1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,1268.481,23.683758,1509.342051,0.16265,,,,
350,0,6,4,2,2,0,0,0.1,0,0,0,990,1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,618.394,30.494,1069.479137,0.16265,,,,
450,0,6,4,2,2,0,0,0.1,0,0,0,990,1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,595.808,21.301,1037.313478,0.16265,,,,
550,0,6,4,2,2,0,0,0.1,0,0,0,990,1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,581.058,26.406,879.1675829,0.16265,,,,
25,0,6,4,2,2,0,0,0.1,0,0,0,1030,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,1169.022264,12.5336491,1503.22111,0.3876,,,,
25,1500,6,4,2,2,0,0,0.1,0,0,0,1030,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,1310.349,14.9096413,1500.396335,0.3876,,,,
25,2000,6,4,2,2,0,0,0.1,0,0,0,1030,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,1251.614,14.7573739,1409.081787,0.3876,,,,
25,2500,6,4,2,2,0,0,0.1,0,0,0,1030,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,1364.023,16.4686615,1466.64874,0.3876,,,,
25,3000,6,4,2,2,0,0,0.1,0,0,0,1030,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,1397.537,14.7947718,1493.574559,0.3876,,,,
25,4000,6,4,2,2,0,0,0.1,0,0,0,1030,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,1405.862,18.6203934,1535.476926,0.3876,,,,
350,0,6,4,2,2,0,0,0.1,0,0,0,1030,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,447.404,24.407,864.1426351,0.3876,,,,
450,0,6,4,2,2,0,0,0.1,0,0,0,1030,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,495.972,38.705,903.9869157,0.3876,,,,
550,0,6,4,2,2,0,0,0.1,0,0,0,1030,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,464.286,47.191,830.4391658,0.3876,,,,
25,0,3,0,3,0,3,0,0,15,0,0,800,0.25,540,12,-1,-1,0,1,0,0,0,1,0,0,0,1021.28,37.8727758,1320.033722,0.45716,,,,
25,2000,3,0,3,0,3,0,0,15,0,0,800,0.25,540,12,-1,-1,0,1,0,0,0,1,0,0,0,1634.50913,27.5338332,1745.114222,0.45716,,,,
25,3000,3,0,3,0,3,0,0,15,0,0,800,0.25,540,12,-1,-1,0,1,0,0,0,1,0,0,0,1679.424002,18.8269115,1759.266855,0.45716,,,,
25,4000,3,0,3,0,3,0,0,15,0,0,800,0.25,540,12,-1,-1,0,1,0,0,0,1,0,0,0,1619.61523,16.3049554,1793.936511,0.45716,,,,
350,0,3,0,3,0,3,0,0,15,0,0,800,0.25,540,12,-1,-1,0,1,0,0,0,1,0,0,0,895.79,13.7045,1286.702949,0.45716,,,,
450,0,3,0,3,0,3,0,0,15,0,0,800,0.25,540,12,-1,-1,0,1,0,0,0,1,0,0,0,680.064,48.9592,1774.1,0.45716,,,,
550,0,3,0,3,0,3,0,0,15,0,0,800,0.25,540,12,-1,-1,0,1,0,0,0,1,0,0,0,675.57,56.7417,931.38,0.45716,,,,
25,0,3,0,3,0,3,0,0,15,0,0,930,0.25,540,12,-1,-1,0,1,0,0,0,1,0,0,0,1087.68,22.0768873,1388.236162,0.55685,,,,
25,2000,3,0,3,0,3,0,0,15,0,0,930,0.25,540,12,-1,-1,0,1,0,0,0,1,0,0,0,1791.922325,28.925749,1877.471703,0.55685,,,,
25,3000,3,0,3,0,3,0,0,15,0,0,930,0.25,540,12,-1,-1,0,1,0,0,0,1,0,0,0,1952.659486,15.1893537,2019.449578,0.55685,,,,
25,4000,3,0,3,0,3,0,0,15,0,0,930,0.25,540,12,-1,-1,0,1,0,0,0,1,0,0,0,1800.70739,13.4386081,1981.953553,0.55685,,,,
350,0,3,0,3,0,3,0,0,15,0,0,930,0.25,540,12,-1,-1,0,1,0,0,0,1,0,0,0,879.98,22.1689,1457.377408,0.55685,,,,
450,0,3,0,3,0,3,0,0,15,0,0,930,0.25,540,12,-1,-1,0,1,0,0,0,1,0,0,0,844.56,49.1432,1767.966667,0.55685,,,,
550,0,3,0,3,0,3,0,0,15,0,0,930,0.25,540,12,-1,-1,0,1,0,0,0,1,0,0,0,642.092,56.7711,838.1433333,0.55685,,,,
25,0,3,0,3,0,3,0,0,15,0,0,800,0.25,440,16,-1,-1,1,0,0,0,0,1,0,0,0,1441.1,9.244429,1613.242451,0.46383,,,,
25,2000,3,0,3,0,3,0,0,15,0,0,800,0.25,440,16,-1,-1,1,0,0,0,0,1,0,0,0,1964.996418,11.496907,2172.718466,0.46383,,,,
25,3000,3,0,3,0,3,0,0,15,0,0,800,0.25,440,16,-1,-1,1,0,0,0,0,1,0,0,0,2123.21862,9.3296808,2325.920273,0.46383,,,,
25,4000,3,0,3,0,3,0,0,15,0,0,800,0.25,440,16,-1,-1,1,0,0,0,0,1,0,0,0,1895.604304,10.8734678,2273.302342,0.46383,,,,
350,0,3,0,3,0,3,0,0,15,0,0,800,0.25,440,16,-1,-1,1,0,0,0,0,1,0,0,0,1231.9,8.8471,1547.058662,0.46383,,,,
450,0,3,0,3,0,3,0,0,15,0,0,800,0.25,440,16,-1,-1,1,0,0,0,0,1,0,0,0,1109.62,12.5087,1429.997019,0.46383,,,,
550,0,3,0,3,0,3,0,0,15,0,0,800,0.25,440,16,-1,-1,1,0,0,0,0,1,0,0,0,604.666,56.0891,893.1333333,0.46383,,,,
25,0,3,0,3,0,3,0,0,15,0,0,800,0.25,560,16,-1,-1,1,0,0,0,0,1,0,0,0,1060.9,33.4168692,1349.087478,0.62349,,,,
25,2000,3,0,3,0,3,0,0,15,0,0,800,0.25,560,16,-1,-1,1,0,0,0,0,1,0,0,0,1713.431353,20.6730297,1829.400034,0.62349,,,,
25,3500,3,0,3,0,3,0,0,15,0,0,800,0.25,560,16,-1,-1,1,0,0,0,0,1,0,0,0,2130.189401,8.629809,2320.548901,0.62349,,,,
25,4000,3,0,3,0,3,0,0,15,0,0,800,0.25,560,16,-1,-1,1,0,0,0,0,1,0,0,0,1754.216327,16.3783424,1791.985433,0.62349,,,,
350,0,3,0,3,0,3,0,0,15,0,0,800,0.25,560,16,-1,-1,1,0,0,0,0,1,0,0,0,838.7,21.7434,1366.941977,0.62349,,,,
450,0,3,0,3,0,3,0,0,15,0,0,800,0.25,560,16,-1,-1,1,0,0,0,0,1,0,0,0,760.102,49.808,1774.1,0.62349,,,,
550,0,3,0,3,0,3,0,0,15,0,0,800,0.25,560,16,-1,-1,1,0,0,0,0,1,0,0,0,646.716,55.313,956.93,0.62349,,,,
