epoch,train_mse_uts,train_mse_fs,train_mae_uts,val_mae_uts,train_mae_fs,val_mae_fs,val_score
198,0.06059995,0.17698933,0.17566748,0.16104911,0.28190374,0.31884387,0.47989298
199,0.05708857,0.17980656,0.17557894,0.16086197,0.27527401,0.30898926,0.46985123
200,0.05799611,0.18300225,0.17434140,0.15863003,0.27022877,0.30054817,0.45917819
201,0.05960847,0.16642900,0.17204857,0.15476723,0.26877305,0.29827729,0.45304452
202,0.05991723,0.15391831,0.17053063,0.15182337,0.26794383,0.30281100,0.45463437
203,0.06212303,0.16252635,0.17000932,0.15061043,0.26767838,0.30758595,0.45819639
204,0.05910957,0.17483136,0.17038749,0.15151496,0.26703912,0.30746225,0.45897721
205,0.05871866,0.15362804,0.17169791,0.15377715,0.26743546,0.30167317,0.45545033
206,0.06282245,0.15768655,0.17479753,0.15866882,0.26878825,0.30140808,0.46007690
207,0.05805392,0.17152905,0.17589703,0.16061464,0.26761761,0.30562097,0.46623561
208,0.06423865,0.17446083,0.17646264,0.16199520,0.26880497,0.31628248,0.47827768
209,0.06100049,0.16790438,0.17536025,0.16031188,0.26659518,0.31162712,0.47193900
210,0.05832301,0.17531914,0.17501688,0.15986678,0.26515114,0.30373785,0.46360463
211,0.05958704,0.16470078,0.17627001,0.16208206,0.26678637,0.29753834,0.45962040
212,0.05803680,0.16209643,0.17719346,0.16373624,0.26627478,0.29703996,0.46077619
213,0.05729559,0.16618665,0.17836784,0.16582732,0.26464191,0.30493638,0.47076370
214,0.06344423,0.16413063,0.17850734,0.16607666,0.26742959,0.31317636,0.47925302
215,0.05719883,0.17561130,0.17797044,0.16510044,0.27151942,0.32103142,0.48613186
216,0.06364048,0.17113416,0.17729478,0.16383097,0.26570660,0.30770111,0.47153208
217,0.05791209,0.14733601,0.17518826,0.16016154,0.26700035,0.29293370,0.45309524
218,0.05986035,0.16739368,0.17299972,0.15633182,0.27171680,0.28795722,0.44428904
219,0.05742534,0.16862367,0.17145501,0.15332890,0.26332730,0.29465425,0.44798315
220,0.05931363,0.15973555,0.17149511,0.15348326,0.27290100,0.32022676,0.47371002
221,0.06026827,0.16894025,0.17275617,0.15559134,0.28214034,0.32903194,0.48462328
222,0.05870689,0.17940682,0.17335138,0.15640849,0.26989278,0.31260762,0.46901610
223,0.06019061,0.16746423,0.17203048,0.15421036,0.26372963,0.29240692,0.44661728
224,0.06011337,0.16370313,0.17045890,0.15128055,0.27168044,0.28930283,0.44058338
225,0.05495116,0.18524331,0.16997507,0.15039438,0.26456463,0.28939933,0.43979371
226,0.05691665,0.16909444,0.17012994,0.15069914,0.26305467,0.30111209,0.45181122
227,0.05938169,0.15977247,0.17025483,0.15096663,0.26574287,0.30423507,0.45520170
