epoch,train_mse_ys,train_mse_fs,train_mae_ys,val_mae_ys,train_mae_fs,val_mae_fs,val_score
174,0.06156031,0.18415219,0.16438113,0.13494456,0.29635575,0.32831228,0.46325684
175,0.06693634,0.19885316,0.16457404,0.13604954,0.29499164,0.32432953,0.46037906
176,0.06942800,0.18802197,0.16871342,0.14537247,0.29147992,0.31307098,0.45844345
177,0.06489386,0.19191840,0.17263484,0.15223622,0.29024777,0.30346760,0.45570382
178,0.06517745,0.18170984,0.17065790,0.14923318,0.28987694,0.30202040,0.45125358
179,0.06563338,0.18198790,0.16630514,0.14117368,0.28930321,0.30518731,0.44636099
180,0.06967297,0.17470092,0.16549432,0.13771994,0.29019776,0.31382975,0.45154969
181,0.06734237,0.18181872,0.16610393,0.13705310,0.28880051,0.31210124,0.44915435
182,0.06714197,0.17801642,0.16579160,0.13806508,0.28692019,0.30019066,0.43825574
183,0.06774647,0.20972137,0.16562004,0.14059475,0.28668767,0.29902017,0.43961492
184,0.05999809,0.18000519,0.16894099,0.14827299,0.28455535,0.30478105,0.45305404
185,0.06290991,0.18429273,0.16871157,0.14865080,0.28848839,0.31964639,0.46829718
186,0.06739889,0.19530500,0.16416009,0.14077376,0.28748652,0.31593710,0.45671086
187,0.06214334,0.17715366,0.16257723,0.13465928,0.28519997,0.30636907,0.44102834
188,0.05747221,0.18334632,0.16428599,0.13416734,0.28693330,0.29940212,0.43356946
189,0.06774081,0.17842332,0.16299661,0.13511878,0.28674141,0.29927719,0.43439597
190,0.06320696,0.18276608,0.16204621,0.13743180,0.28392771,0.30673346,0.44416526
191,0.06589843,0.18092588,0.16379264,0.14378478,0.28638926,0.31596506,0.45974983
192,0.06139679,0.18712234,0.16286822,0.14255293,0.28782731,0.31913933,0.46169226
193,0.06078628,0.18449277,0.16167749,0.14098907,0.28380066,0.30992973,0.45091879
194,0.06327531,0.17921802,0.15931031,0.13307565,0.28030249,0.29717597,0.43025163
195,0.05732160,0.17713876,0.16066635,0.13418791,0.28070721,0.29182625,0.42601416
196,0.06221910,0.19128796,0.16127430,0.13534500,0.27833793,0.30090493,0.43624993
197,0.06946792,0.17209712,0.16135000,0.13566287,0.28068921,0.31213489,0.44779776
198,0.06086656,0.17703207,0.16513339,0.14276427,0.28184316,0.31870496,0.46146923
199,0.05722009,0.17974368,0.16657707,0.14638416,0.27521464,0.30873623,0.45512040
200,0.05939573,0.18300283,0.16181017,0.14109536,0.27025104,0.30046251,0.44155787
201,0.06425404,0.16647109,0.16143002,0.13518032,0.26879439,0.29838681,0.43356714
202,0.06247986,0.15389447,0.16533221,0.13680428,0.26800475,0.30306110,0.43986538
203,0.06512885,0.16252266,0.16461156,0.13617165,0.26777199,0.30775121,0.44392286
204,0.06003392,0.17491689,0.16085799,0.13579060,0.26701128,0.30729178,0.44308238
205,0.05793602,0.15361553,0.16039999,0.13979094,0.26740697,0.30138594,0.44117688
206,0.06218780,0.15774255,0.16436718,0.14687862,0.26869199,0.30122796,0.44810657
207,0.06138178,0.17144988,0.16092500,0.14142314,0.26755199,0.30560303,0.44702616
208,0.06408007,0.17431484,0.15748832,0.13647845,0.26885286,0.31650078,0.45297924
209,0.05948869,0.16812967,0.15519421,0.13343191,0.26663157,0.31162530,0.44505721
210,0.05619633,0.17534202,0.15562108,0.13480406,0.26513427,0.30355161,0.43835567
211,0.06345655,0.16468805,0.15510355,0.13413173,0.26687261,0.29734659,0.43147832
212,0.05632311,0.16227858,0.15517578,0.13325842,0.26629075,0.29695156,0.43020998
213,0.05415129,0.16622445,0.15627950,0.13472684,0.26471305,0.30515763,0.43988447
214,0.05685729,0.16415599,0.15729907,0.13652377,0.26760149,0.31357643,0.45010020
215,0.06147162,0.17567070,0.15659271,0.13598144,0.27162638,0.32121041,0.45719185
216,0.06075866,0.17126246,0.15666808,0.13611926,0.26558009,0.30750048,0.44361974
217,0.05848556,0.14732338,0.15674388,0.13601084,0.26700771,0.29269823,0.42870907
218,0.05934735,0.16743574,0.15624113,0.13457139,0.27172703,0.28793252,0.42250390
219,0.05703082,0.16871728,0.15625386,0.13188586,0.26326305,0.29475620,0.42664206
220,0.05742496,0.15959737,0.15634727,0.13244487,0.27317932,0.32042733,0.45287220
221,0.06004290,0.16917534,0.15599816,0.13468236,0.28224730,0.32903117,0.46371353
222,0.05249618,0.17945114,0.15673600,0.13825467,0.26981369,0.31240267,0.45065734
223,0.05920707,0.16751480,0.15542889,0.13564186,0.26367745,0.29229099,0.42793284
224,0.05848711,0.16355737,0.15491930,0.13446227,0.27179432,0.28920093,0.42366320
225,0.05220255,0.18536314,0.15375373,0.13410804,0.26465982,0.28929633,0.42340437
226,0.05463938,0.16916318,0.15249898,0.13334030,0.26308382,0.30104157,0.43438187
227,0.06122600,0.15980741,0.15116625,0.13244884,0.26581109,0.30436295,0.43681179
228,0.05423781,0.17988001,0.15082596,0.13304377,0.26682773,0.30283928,0.43588305
229,0.06222183,0.15302944,0.15295610,0.13553010,0.26368642,0.29411894,0.42964904
230,0.05959887,0.15888488,0.15293801,0.13457876,0.25853580,0.28205213,0.41663089
231,0.05784481,0.16905427,0.15071042,0.13111660,0.25673935,0.27568936,0.40680596
232,0.05786935,0.16722962,0.15111850,0.13188338,0.25512341,0.27895826,0.41084164
233,0.05657844,0.17719640,0.15287262,0.13436736,0.25478706,0.29301253,0.42737989
234,0.05570779,0.15027322,0.15173429,0.13404873,0.26145232,0.30915365,0.44320238
235,0.05932536,0.15313026,0.15134220,0.13337839,0.25917330,0.30728853,0.44066691
236,0.05283872,0.16236597,0.15263169,0.13437349,0.25372788,0.29801354,0.43238702
237,0.05862464,0.15223029,0.15227768,0.13397217,0.25599468,0.29036251,0.42433468
238,0.05650262,0.16572033,0.15048376,0.13335679,0.25764111,0.28996310,0.42331989
239,0.05545489,0.15152131,0.15194421,0.13432615,0.25459135,0.29128611,0.42561226
240,0.05334070,0.14401424,0.15104967,0.13222837,0.25347155,0.29928327,0.43151164
241,0.05691786,0.16224712,0.14928292,0.12888265,0.26179391,0.31446621,0.44334885
242,0.05201440,0.16552573,0.15116675,0.12976153,0.26530531,0.31912374,0.44888528
243,0.05503747,0.17296819,0.15354511,0.13319270,0.25504285,0.30793819,0.44113089
244,0.05235171,0.16151577,0.15220903,0.13128911,0.24932428,0.28930888,0.42059799
245,0.05608011,0.15343879,0.15095112,0.12886156,0.25323048,0.28573951,0.41460107
246,0.05051079,0.15510803,0.15150224,0.13046072,0.24970588,0.29047322,0.42093395
247,0.05734134,0.15553889,0.14969447,0.12940302,0.25060964,0.30390051,0.43330353
248,0.05267112,0.14875387,0.14941654,0.13071159,0.26059744,0.31646946,0.44718105
249,0.05611037,0.15644424,0.15199000,0.13412550,0.25744924,0.31288335,0.44700885
250,0.05491573,0.14653789,0.15135169,0.13324414,0.24951404,0.30062228,0.43386643
251,0.05952302,0.13964631,0.14763218,0.12879226,0.24890557,0.28511527,0.41390753
252,0.05396285,0.14332362,0.15223530,0.13171311,0.25295833,0.28029862,0.41201173
253,0.05396425,0.15123278,0.15281081,0.13155553,0.25133458,0.27903223,0.41058776
254,0.06108766,0.14224842,0.14938579,0.12700190,0.24899101,0.28236943,0.40937133
255,0.05281953,0.16216567,0.14881632,0.12725487,0.25150508,0.29076856,0.41802344
256,0.05806244,0.15624136,0.15766278,0.14224955,0.25520059,0.29589495,0.43814451
257,0.05907144,0.14328516,0.15844765,0.14342038,0.25166860,0.29122260,0.43464299
258,0.05807184,0.14677629,0.15019244,0.13022666,0.24640521,0.28029749,0.41052414
259,0.05362039,0.14756241,0.14999110,0.12817889,0.24687263,0.27420932,0.40238822
260,0.05607941,0.13956395,0.15501507,0.13504821,0.24813978,0.27424473,0.40929294
261,0.05590114,0.14192241,0.15638900,0.13743025,0.24481422,0.27830851,0.41573876
262,0.05689552,0.14964895,0.15199503,0.13054384,0.24385716,0.28889194,0.41943578
263,0.05672421,0.14068446,0.14821467,0.12643929,0.24789438,0.30073410,0.42717339
264,0.05845781,0.13981175,0.15297364,0.13232778,0.24729782,0.30138829,0.43371607
265,0.05914144,0.14759268,0.15299593,0.13309523,0.24264158,0.29557812,0.42867336
266,0.05388491,0.15522644,0.14764062,0.12675668,0.23920013,0.28496036,0.41171704
267,0.05532875,0.14179844,0.14563443,0.12435427,0.23960023,0.28142899,0.40578327
268,0.05594566,0.14132765,0.14745542,0.12679569,0.24002577,0.28068817,0.40748386
269,0.05370532,0.14437018,0.14504671,0.12626576,0.24061793,0.28356528,0.40983105
270,0.05698249,0.14633361,0.14369294,0.12494031,0.24636005,0.29264793,0.41758823
271,0.04798400,0.13740958,0.14463648,0.12674928,0.24793121,0.29421487,0.42096415
272,0.04808413,0.15260705,0.14417224,0.12721547,0.24299447,0.28628212,0.41349760
273,0.05534049,0.15402955,0.14265965,0.12715822,0.24070647,0.27792287,0.40508109
274,0.05511542,0.13755597,0.14100708,0.12652743,0.24016763,0.27418208,0.40070951
275,0.05185231,0.13715167,0.14089040,0.12685341,0.23827736,0.27458110,0.40143451
276,0.05350134,0.14223737,0.14079972,0.12679183,0.23780982,0.28162923,0.40842107
277,0.04845930,0.14633656,0.14125884,0.12681918,0.24275523,0.29278579,0.41960497
278,0.05060377,0.15251526,0.14150360,0.12649952,0.24806590,0.29837650,0.42487602
279,0.04786718,0.14460808,0.14111614,0.12606648,0.24373710,0.29172167,0.41778815
280,0.05385989,0.13942349,0.14173532,0.12562728,0.23926005,0.28393102,0.40955830
281,0.05590621,0.13386323,0.14356233,0.12749077,0.24083185,0.28304917,0.41053994
282,0.05369670,0.16496453,0.14139087,0.12594159,0.24262406,0.28243494,0.40837653
283,0.05479656,0.15899682,0.13908546,0.12440492,0.24252251,0.28431585,0.40872078
284,0.05262921,0.14871582,0.14031060,0.12568872,0.24901271,0.29509932,0.42078803
285,0.05089284,0.13706671,0.14267407,0.12805115,0.25501016,0.30178782,0.42983897
286,0.05388685,0.13221306,0.14169680,0.12688524,0.25438163,0.30116186,0.42804709
287,0.05342501,0.13748556,0.14000130,0.12580892,0.24826264,0.29234472,0.41815364
288,0.05021448,0.13585922,0.14334078,0.12695183,0.24427176,0.28311828,0.41007011
289,0.05092248,0.13429488,0.14338805,0.12708972,0.24468483,0.28146282,0.40855254
290,0.05172556,0.13576649,0.14084794,0.12710530,0.24117674,0.28068939,0.40779468
291,0.04833983,0.14246520,0.14050998,0.12824976,0.23676895,0.27929285,0.40754262
292,0.05341001,0.12820895,0.14113176,0.12856963,0.23628303,0.28032678,0.40889642
293,0.05404987,0.12683296,0.13813801,0.12609287,0.23460732,0.27864355,0.40473641
294,0.05177999,0.13263813,0.13822918,0.12568910,0.23353310,0.27854401,0.40423311
295,0.05443510,0.14274769,0.13848618,0.12425232,0.23179838,0.27914119,0.40339351
296,0.05260882,0.13310599,0.13985765,0.12380031,0.23081738,0.27936751,0.40316781
297,0.05204913,0.12366091,0.13952412,0.12223967,0.23111483,0.28147820,0.40371787
298,0.05595087,0.13776553,0.14145815,0.12379847,0.23231378,0.28407243,0.40787090
299,0.05280805,0.11796619,0.14255552,0.12344679,0.23211244,0.28244120,0.40588799
300,0.04898897,0.13560143,0.14192645,0.12274823,0.23226810,0.28109485,0.40384308
301,0.04798601,0.13513131,0.14062324,0.12273638,0.23213507,0.27862293,0.40135930
302,0.05424386,0.13454841,0.14233838,0.12533365,0.23076731,0.27669913,0.40203278
303,0.05133073,0.13207279,0.14522795,0.12921208,0.23152296,0.28060809,0.40982017
304,0.05409158,0.13314587,0.13869701,0.12265365,0.23460197,0.28255820,0.40521185
305,0.04704945,0.13057573,0.14086622,0.12752141,0.23389342,0.28024963,0.40777104
306,0.05499964,0.12206524,0.14448729,0.13170442,0.22911617,0.27242419,0.40412861
307,0.05089607,0.13764623,0.13697277,0.12341867,0.22880241,0.26966313,0.39308180
308,0.04995361,0.13803585,0.13703148,0.12196300,0.23013423,0.26874435,0.39070735
309,0.05253581,0.13697962,0.13896245,0.12316097,0.23016377,0.27022597,0.39338695
310,0.04865598,0.12579866,0.13823526,0.12238725,0.23250389,0.27405128,0.39643853
311,0.05154826,0.14525385,0.13588417,0.12349995,0.23434272,0.27729759,0.40079754
312,0.05313107,0.12313610,0.14046437,0.12920211,0.23447789,0.27940276,0.40860488
313,0.04792480,0.13538073,0.14065111,0.12960041,0.23253426,0.27719572,0.40679613
