element_0,element_1,element_2,element_3,element_4,element_5,element_6,element_7,element_8,element_9,testenv_0,testenv_1,coldway_0,coldway_1,coldway_2,coldway_3,coldway_4,coldway_5,coldway_6,coldway_7,coldway_8,coldway_9,coldway_10,coldway_11,coldway_12,coldway_13,coldway_14,coldway_15,coldway_16,coldway_17,YS,FS
6.5,2.0,0.0,1.0,0.0,0.0,0.15000000596046448,1.0,0.0,0.0,-0.7908832430839539,0.10166878998279572,0.11778303980827332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.997005820274353,0.350155770778656
6.5,2.0,0.0,1.0,0.0,0.0,0.15000000596046448,1.0,0.0,0.0,-0.7908832430839539,0.42486846446990967,0.11778303980827332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0590804815292358,0.5827383399009705
6.5,2.0,0.0,1.0,0.0,0.0,0.15000000596046448,1.0,0.0,0.0,-0.7908832430839539,1.07126784324646,0.11778303980827332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1983510255813599,0.657409131526947
6.5,2.0,0.0,1.0,0.0,0.0,0.15000000596046448,1.0,0.0,0.0,-0.7908832430839539,1.3944674730300903,0.11778303980827332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2780119180679321,0.6474427580833435
6.5,2.0,0.0,1.0,0.0,0.0,0.15000000596046448,1.0,0.0,0.0,0.7233852744102478,-0.8679302334785461,0.11778303980827332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6008477210998535,0.9744860529899597
6.5,2.0,0.0,1.0,0.0,0.0,0.15000000596046448,1.0,0.0,0.0,1.1893140077590942,-0.8679302334785461,0.11778303980827332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6038070321083069,0.8076324462890625
6.5,2.0,0.0,1.0,0.0,0.0,0.15000000596046448,1.0,0.0,0.0,1.6552428007125854,-0.8679302334785461,0.11778303980827332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5744691491127014,1.2512240409851074
6.5,2.0,0.0,1.0,0.0,0.0,0.15000000596046448,1.0,0.0,0.0,-0.7908832430839539,-0.8679302334785461,0.0,0.0,0.11778303980827332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9091640710830688,1.0853593349456787
6.5,2.0,0.0,1.0,0.0,0.0,0.15000000596046448,1.0,0.0,0.0,-0.7908832430839539,0.10166878998279572,0.0,0.0,0.11778303980827332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1455968618392944,0.3071407675743103
6.5,2.0,0.0,1.0,0.0,0.0,0.15000000596046448,1.0,0.0,0.0,-0.7908832430839539,0.42486846446990967,0.0,0.0,0.11778303980827332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2311068773269653,0.5728635787963867
6.5,2.0,0.0,1.0,0.0,0.0,0.15000000596046448,1.0,0.0,0.0,-0.7908832430839539,1.07126784324646,0.0,0.0,0.11778303980827332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2606570720672607,0.7910422682762146
6.5,2.0,0.0,1.0,0.0,0.0,0.15000000596046448,1.0,0.0,0.0,-0.7908832430839539,1.3944674730300903,0.0,0.0,0.11778303980827332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2025331258773804,0.8517035841941833
6.5,2.0,0.0,1.0,0.0,0.0,0.15000000596046448,1.0,0.0,0.0,0.7233852744102478,-0.8679302334785461,0.0,0.0,0.11778303980827332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5369762182235718,0.973845899105072
6.5,2.0,0.0,1.0,0.0,0.0,0.15000000596046448,1.0,0.0,0.0,1.1893140077590942,-0.8679302334785461,0.0,0.0,0.11778303980827332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5121859312057495,1.0863392353057861
6.5,2.0,0.0,1.0,0.0,0.0,0.15000000596046448,1.0,0.0,0.0,1.6552428007125854,-0.8679302334785461,0.0,0.0,0.11778303980827332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5710770487785339,1.8479068279266357
6.5,2.0,0.0,1.0,0.0,0.0,0.15000000596046448,1.0,0.0,0.0,-0.7908832430839539,-0.8679302334785461,0.0,0.0,0.0,0.0,0.11778303980827332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.937726616859436,1.0533190965652466
6.5,2.0,0.0,1.0,0.0,0.0,0.15000000596046448,1.0,0.0,0.0,-0.7908832430839539,0.10166878998279572,0.0,0.0,0.0,0.0,0.11778303980827332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.024560809135437,0.36231863498687744
6.5,2.0,0.0,1.0,0.0,0.0,0.15000000596046448,1.0,0.0,0.0,-0.7908832430839539,0.42486846446990967,0.0,0.0,0.0,0.0,0.11778303980827332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.23579740524292,0.5904949903488159
